@RELATION deceptionSvm_edi ted
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {../../training-data/deception-audio/truth_audio,../../training-data/deception-audio/lie_audio_edited}

@DATA
0.076855,0.009271,2.963699,0.139648,0.158509,0.362166,0.011304,0.103659,-27.292771,2.312870,-0.770446,-0.062738,0.004147,0.165212,-0.237906,-0.146686,0.020287,-0.071199,-0.092453,-0.078499,-0.146630,0.018196,0.008761,0.023402,0.014618,0.015340,0.008139,0.021058,0.006320,0.010175,0.019358,0.025126,0.010443,0.020822,0.074200,0.010194,0.382747,0.072363,0.030392,0.475253,0.006969,0.115038,2.211796,0.840659,0.880532,0.632143,0.391908,0.383731,0.298813,0.282329,0.272437,0.235832,0.315029,0.269369,0.282618,0.026030,0.013344,0.024188,0.020785,0.018782,0.010624,0.026823,0.011278,0.013360,0.019848,0.027458,0.014505,0.011744,../../training-data/deception-audio/truth_audio
0.055857,0.019333,3.092578,0.129387,0.170891,0.350759,0.013099,0.083220,-26.132713,2.583954,-0.076762,0.193039,-0.046327,-0.066622,-0.131523,0.060532,0.006264,-0.188373,-0.009314,-0.054352,-0.270987,0.042568,0.005181,0.021960,0.007231,0.007433,0.007776,0.018510,0.001456,0.005521,0.033281,0.050773,0.006344,0.027772,0.062716,0.017872,0.287725,0.061101,0.029582,0.502398,0.010369,0.103416,2.062766,0.826884,0.652149,0.419748,0.379228,0.299506,0.267354,0.265042,0.218989,0.229525,0.220591,0.252229,0.248309,0.048023,0.006783,0.021681,0.008208,0.006297,0.008909,0.018858,0.002412,0.006664,0.032512,0.044108,0.010178,0.014063,../../training-data/deception-audio/truth_audio
0.034852,0.007540,3.006625,0.094143,0.140688,0.312273,0.007981,0.048740,-27.369646,1.968526,0.433872,0.239372,0.205881,0.230674,0.062871,0.137537,0.093472,-0.045340,-0.052336,-0.013005,-0.077061,0.022969,0.002712,0.085027,0.006198,0.018773,0.006311,0.111050,0.001086,0.002251,0.009719,0.039484,0.002874,0.044560,0.018567,0.008553,0.205239,0.021605,0.032803,0.230973,0.004506,0.044641,1.334642,0.541263,0.347313,0.318106,0.236966,0.213056,0.197000,0.194774,0.194835,0.182632,0.164613,0.173109,0.187872,0.021510,0.002672,0.049362,0.005830,0.017949,0.006766,0.063016,0.001492,0.002287,0.009753,0.029156,0.003479,0.013402,../../training-data/deception-audio/truth_audio
0.040455,0.004573,3.077237,0.093941,0.132400,0.361359,0.007651,0.065428,-27.613293,1.843767,0.343910,0.176029,0.036122,0.202280,0.018661,-0.003571,0.078350,-0.131533,-0.073980,-0.114042,-0.191878,0.037664,0.003164,0.055555,0.006423,0.010996,0.005381,0.063509,0.001508,0.002163,0.010148,0.056729,0.004321,0.036882,0.023347,0.004785,0.200118,0.023312,0.033616,0.305295,0.004484,0.053331,1.733195,0.679114,0.523882,0.424565,0.328199,0.296969,0.244528,0.225915,0.211195,0.202181,0.220940,0.215403,0.229039,0.033361,0.004436,0.041281,0.007235,0.009995,0.005734,0.049048,0.001900,0.002218,0.008210,0.041508,0.005048,0.013971,../../training-data/deception-audio/truth_audio
0.041598,0.003283,3.065073,0.095466,0.131521,0.388001,0.009925,0.069615,-28.525864,1.868031,0.333009,0.029343,0.027350,0.103853,-0.040839,0.000877,0.003907,-0.234015,-0.240111,-0.182213,-0.248303,0.041124,0.003729,0.054502,0.014371,0.012583,0.006548,0.049251,0.001547,0.002366,0.009306,0.044213,0.003804,0.034956,0.028800,0.003806,0.221371,0.027148,0.035444,0.344888,0.007374,0.059626,2.036582,0.818932,0.622984,0.485067,0.339244,0.287326,0.243461,0.242456,0.233655,0.224987,0.261642,0.242948,0.271576,0.042555,0.004850,0.043641,0.017112,0.012711,0.007770,0.043875,0.001789,0.002618,0.008622,0.038558,0.004729,0.014805,../../training-data/deception-audio/truth_audio
0.036515,0.006760,3.075555,0.093302,0.137166,0.323102,0.009168,0.054046,-27.615878,2.149031,0.517027,0.170388,0.136072,0.227530,0.051512,0.093346,0.069421,-0.080623,-0.066667,-0.092302,-0.123291,0.032374,0.001893,0.037025,0.007755,0.023116,0.005676,0.075603,0.001429,0.002010,0.013591,0.062861,0.004138,0.039451,0.023373,0.007396,0.188329,0.023352,0.033477,0.291354,0.006033,0.051976,1.595617,0.635870,0.416514,0.386839,0.294138,0.269184,0.234242,0.219230,0.201046,0.200920,0.188539,0.216557,0.208169,0.032484,0.002389,0.030424,0.008543,0.021435,0.007717,0.055564,0.002313,0.001994,0.013736,0.046537,0.005364,0.013907,../../training-data/deception-audio/truth_audio
0.035577,0.004404,3.051753,0.092165,0.136897,0.308002,0.009858,0.054441,-28.460766,2.130913,0.377879,0.158710,0.160223,0.157100,-0.019028,0.111105,0.088258,-0.072032,-0.093072,-0.046344,-0.187891,0.032136,0.002612,0.040042,0.008561,0.021649,0.004982,0.063575,0.001385,0.002348,0.015585,0.057265,0.004787,0.036667,0.023591,0.005083,0.231982,0.024803,0.035342,0.297889,0.006659,0.051434,1.970169,0.721804,0.521506,0.433143,0.316760,0.289317,0.265801,0.233340,0.217477,0.215684,0.204366,0.209986,0.231206,0.033637,0.003241,0.033972,0.010503,0.021263,0.006238,0.049866,0.001903,0.002427,0.015132,0.043358,0.005922,0.014469,../../training-data/deception-audio/truth_audio
0.047758,0.016595,3.035760,0.107435,0.145486,0.359977,0.008896,0.068720,-25.407385,2.395404,0.126201,-0.267294,-0.337717,0.117938,0.009661,-0.024986,-0.300442,0.049590,-0.154747,0.084619,-0.031223,0.031704,0.006570,0.029506,0.018632,0.021452,0.017079,0.023344,0.004277,0.014270,0.013927,0.015879,0.007385,0.021020,0.034098,0.015705,0.243686,0.040887,0.032296,0.361020,0.005078,0.057279,2.054094,0.659189,0.705615,0.404150,0.435283,0.340328,0.282077,0.262270,0.290471,0.237049,0.212475,0.194096,0.184876,0.030711,0.008574,0.024102,0.018197,0.018616,0.017001,0.019966,0.006501,0.015150,0.013079,0.014344,0.008875,0.009588,../../training-data/deception-audio/truth_audio
0.043292,0.011400,3.031836,0.100064,0.137133,0.325182,0.008748,0.065734,-25.472096,2.363825,0.256426,-0.324233,-0.438322,0.183861,-0.015657,-0.082855,-0.257924,-0.055984,-0.168689,0.079444,-0.011981,0.048527,0.005991,0.030622,0.020260,0.020703,0.016893,0.020729,0.003674,0.014537,0.007825,0.014272,0.007769,0.023443,0.027998,0.008729,0.238602,0.036428,0.033249,0.313014,0.004463,0.051553,1.818165,0.656698,0.751731,0.401438,0.486120,0.332535,0.291882,0.276849,0.294220,0.236496,0.239660,0.209970,0.224073,0.039372,0.008612,0.024114,0.018654,0.020081,0.015521,0.017905,0.005929,0.016069,0.007206,0.013952,0.010041,0.011117,../../training-data/deception-audio/truth_audio
0.046987,0.007846,3.034388,0.114199,0.156175,0.350977,0.008522,0.068687,-26.700321,2.494112,0.147497,-0.284650,-0.428547,0.292572,0.020605,0.003813,-0.263737,0.020181,-0.152093,0.063189,0.020338,0.019949,0.009719,0.034897,0.023290,0.031246,0.018583,0.028279,0.004195,0.011558,0.012048,0.013606,0.004986,0.023107,0.031382,0.007080,0.250647,0.039944,0.028356,0.351545,0.004824,0.062216,1.714366,0.590570,0.606758,0.397408,0.420461,0.309129,0.290750,0.275453,0.273780,0.226557,0.210142,0.207737,0.188837,0.018298,0.012248,0.026846,0.022733,0.024906,0.021195,0.023092,0.006552,0.011575,0.012055,0.012058,0.005977,0.010367,../../training-data/deception-audio/truth_audio
