@RELATION emotionExtraTrees
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {../Emotion Audio/01_Neatral,../Emotion Audio/02_Calm,../Emotion Audio/03_Happy,../Emotion Audio/04_sad,../Emotion Audio/05_angry,../Emotion Audio/06_Fear,../Emotion Audio/07_disgust,../Emotion Audio/08_surprised}

@DATA
0.045434,0.008023,2.551707,0.343629,0.254437,1.497038,0.003445,0.244510,-36.766096,1.371328,0.288863,0.121353,-0.038297,0.097400,0.190999,0.093458,0.002393,0.077695,-0.015226,0.034426,-0.019657,0.008332,0.004182,0.027762,0.006915,0.014512,0.006173,0.053511,0.001803,0.004047,0.005086,0.013911,0.004419,0.020046,0.044704,0.009637,0.424270,0.069369,0.035478,0.689503,0.002456,0.243392,3.296144,0.586347,0.511428,0.317735,0.285219,0.258213,0.232661,0.202028,0.223653,0.173698,0.173320,0.149289,0.141142,0.009999,0.006873,0.020873,0.006479,0.009415,0.004637,0.033463,0.002204,0.004617,0.003498,0.012258,0.005525,0.008794,../Emotion Audio/01_Neatral
0.057859,0.006363,2.690338,0.223781,0.205508,0.927244,0.005790,0.174653,-35.914441,1.308349,-0.160174,-0.053189,-0.098620,0.071322,-0.060858,-0.125112,-0.066926,-0.108491,-0.017692,-0.093756,-0.072479,0.013518,0.002663,0.035526,0.012013,0.010724,0.006037,0.047176,0.003386,0.006019,0.009682,0.018112,0.008379,0.022977,0.036081,0.008790,0.384021,0.107978,0.058605,0.720522,0.009431,0.146304,3.214842,0.610205,0.553403,0.565519,0.321081,0.276565,0.331873,0.198239,0.235979,0.239204,0.225626,0.260467,0.252733,0.016674,0.002605,0.037349,0.013025,0.011797,0.005646,0.044073,0.004465,0.007506,0.008970,0.016216,0.009637,0.015922,../Emotion Audio/01_Neatral
0.063863,0.009554,2.893879,0.238575,0.219248,0.892648,0.017638,0.159370,-34.877541,1.585490,0.077059,0.015797,-0.207741,0.194439,-0.017003,0.074505,-0.043834,-0.004402,-0.079367,-0.040275,-0.052482,0.008859,0.003950,0.022302,0.011404,0.013423,0.007451,0.038449,0.002344,0.006356,0.023189,0.025507,0.009277,0.020111,0.043049,0.014109,0.374615,0.100592,0.060244,0.527400,0.041298,0.113246,3.156772,0.537912,0.592118,0.436688,0.450070,0.251345,0.201508,0.219462,0.182033,0.206439,0.171106,0.142026,0.185505,0.008419,0.006152,0.016272,0.014070,0.009619,0.008289,0.025698,0.003115,0.007359,0.018377,0.022915,0.011710,0.010560,../Emotion Audio/01_Neatral
0.052630,0.008697,2.676003,0.245177,0.203407,1.167330,0.014871,0.274056,-36.397006,1.213887,-0.055389,-0.116780,-0.220175,-0.120669,-0.085784,-0.181479,0.030651,-0.097059,-0.050732,-0.158560,-0.117064,0.012255,0.002982,0.012129,0.012738,0.008591,0.004544,0.035016,0.001898,0.007301,0.018264,0.018636,0.006609,0.018638,0.040353,0.009339,0.440621,0.112813,0.050490,0.661780,0.017072,0.172126,3.091784,0.647349,0.452806,0.374934,0.229764,0.296320,0.230756,0.193508,0.202588,0.250245,0.246978,0.177713,0.153787,0.012265,0.002788,0.009208,0.017271,0.010195,0.003414,0.025079,0.001405,0.012371,0.018121,0.019601,0.007202,0.012033,../Emotion Audio/01_Neatral
0.062693,0.004649,2.601950,0.279726,0.257027,0.771510,0.007353,0.185385,-34.190293,1.779625,0.239841,0.249005,-0.080192,0.206761,0.108668,0.028170,0.117021,0.080988,-0.025099,0.046652,-0.057978,0.005497,0.003918,0.035647,0.007835,0.011409,0.009848,0.128056,0.001521,0.004010,0.004496,0.012618,0.008788,0.039717,0.050774,0.007612,0.405165,0.061611,0.032372,0.666577,0.006165,0.202550,2.329028,0.667120,0.618862,0.380384,0.365825,0.232730,0.238670,0.236896,0.198551,0.169706,0.158532,0.154263,0.144135,0.005536,0.005556,0.026058,0.009828,0.010720,0.012869,0.070661,0.002173,0.005400,0.004743,0.010185,0.013809,0.017727,../Emotion Audio/01_Neatral
0.064152,0.007927,2.836389,0.287737,0.240878,1.557562,0.018628,0.375792,-34.044634,0.886063,-0.006995,0.056603,-0.061669,0.119391,-0.103184,-0.188752,-0.138680,-0.127271,-0.153028,-0.111389,-0.100207,0.007907,0.005246,0.018243,0.020319,0.008943,0.007555,0.030444,0.003451,0.005457,0.010924,0.008715,0.005686,0.015436,0.037072,0.007985,0.402563,0.083722,0.043641,0.634336,0.045330,0.159887,2.998807,0.720010,0.569332,0.475180,0.297781,0.272445,0.226052,0.252361,0.215116,0.176478,0.275910,0.254402,0.235798,0.008771,0.007948,0.018137,0.023647,0.009641,0.008894,0.036691,0.005113,0.005525,0.008703,0.005349,0.009808,0.011465,../Emotion Audio/01_Neatral
0.072276,0.006781,2.947328,0.237631,0.229303,1.001394,0.006285,0.176472,-32.304151,1.879528,0.232890,0.090555,-0.205449,0.247302,-0.022926,0.158424,-0.066689,0.018462,-0.006409,0.036551,0.049548,0.010010,0.005736,0.051354,0.008030,0.016089,0.005408,0.029800,0.003640,0.012504,0.014261,0.027340,0.003801,0.022788,0.051145,0.008009,0.378078,0.050220,0.025086,0.381496,0.003592,0.106711,2.071730,0.595919,0.622578,0.401729,0.414829,0.290407,0.218042,0.238195,0.216221,0.194566,0.196609,0.176550,0.196552,0.008721,0.008235,0.039894,0.008077,0.012818,0.005570,0.026931,0.007622,0.014678,0.016279,0.028796,0.005855,0.011213,../Emotion Audio/01_Neatral
0.056451,0.009926,2.687530,0.258921,0.267063,0.389675,0.008779,0.051302,-33.111682,2.058924,0.284258,0.142563,-0.027399,0.060643,0.061277,-0.045357,0.051031,-0.042638,-0.014787,-0.047392,-0.028497,0.008883,0.001406,0.081153,0.010675,0.007707,0.003876,0.128037,0.001499,0.002145,0.008004,0.022289,0.004694,0.049800,0.038011,0.010868,0.349610,0.054291,0.029841,0.325932,0.006630,0.071839,2.467562,0.517599,0.541268,0.397131,0.250600,0.251223,0.232177,0.252408,0.224871,0.239354,0.199648,0.185259,0.230325,0.009933,0.001804,0.076971,0.012318,0.011020,0.005234,0.053545,0.002473,0.003056,0.010100,0.025947,0.008423,0.017494,../Emotion Audio/01_Neatral
0.045691,0.006675,2.861981,0.211096,0.249318,0.519995,0.009803,0.123740,-31.245052,2.313694,0.419649,0.265668,0.052663,0.235447,0.060794,0.198539,0.066950,0.039164,0.074730,-0.068553,0.040022,0.010952,0.003364,0.085441,0.007566,0.009475,0.004769,0.125221,0.001216,0.003974,0.009354,0.059539,0.002715,0.050735,0.021204,0.007759,0.243926,0.054051,0.033535,0.351662,0.007262,0.105928,2.205748,0.574022,0.378432,0.235654,0.270700,0.237891,0.186370,0.176843,0.131294,0.147269,0.157290,0.147084,0.105793,0.013862,0.006247,0.044298,0.008234,0.006688,0.004384,0.055532,0.002257,0.005072,0.008239,0.041669,0.002834,0.009610,../Emotion Audio/01_Neatral
0.060061,0.008479,2.661057,0.291902,0.274844,0.631268,0.010239,0.133635,-34.421761,1.886839,0.480628,0.317726,0.197057,0.108095,0.163663,0.099839,0.132403,0.141661,0.034132,0.102422,0.040312,0.008492,0.002316,0.054947,0.010139,0.012793,0.005433,0.113677,0.000883,0.002323,0.005311,0.023151,0.002914,0.040827,0.045413,0.007442,0.312082,0.060271,0.028236,0.549251,0.009813,0.186407,1.787132,0.688626,0.404228,0.326118,0.247280,0.159591,0.162614,0.232290,0.185039,0.170073,0.206344,0.159527,0.122741,0.011670,0.003171,0.036642,0.014694,0.013568,0.008881,0.041930,0.001254,0.002874,0.005662,0.021746,0.003803,0.012446,../Emotion Audio/01_Neatral
